manufacturer,date,avg_price,tdp,units,sales,date_new,channel,SOM
PEPSICO,NOVIEMBRE 2019,1.652733893491676,1523,51976.96999999997,85904.09999999999,2019-11-01,TOTAL,49.33866088859454
PEPSICO,NOVIEMBRE 2020,1.6961173947961934,1644,49332.33999999999,83673.44000000003,2020-11-01,TOTAL,48.833338556715816
PEPSICO,NOVIEMBRE 2021,1.7211068409672068,1525,52878.78000000002,91010.02999999996,2021-11-01,TOTAL,50.20993993180696
PEPSICO,NOVIEMBRE 2022,1.9713529181526197,1560,53167.37000000002,104811.65000000008,2022-11-01,TOTAL,50.08562351629472
PEPSICO,OCTUBRE 2019,1.6530006315797874,1514,52582.430000000015,86918.78999999998,2019-10-01,TOTAL,50.13099876043439
PEPSICO,OCTUBRE 2020,1.6609276885945177,1655,49412.419999999984,81031.58999999995,2020-10-01,TOTAL,48.45902371485338
PEPSICO,OCTUBRE 2021,1.7303861436331684,1513,49906.299999999996,86357.17,2021-10-01,TOTAL,49.494507310909576
PEPSICO,OCTUBRE 2022,1.9437880942923165,1555,56189.52000000001,109220.52000000002,2022-10-01,TOTAL,50.4726718724468
PEPSICO,SEPTIEMBRE 2019,1.652631816028566,958,54167.54,89519,2019-09-01,TOTAL,50.46081520605627
PEPSICO,SEPTIEMBRE 2020,1.661804884586602,1636,47826.77000000002,79478.76,2020-09-01,TOTAL,48.90369532005623
PEPSICO,SEPTIEMBRE 2021,1.7348365689407947,1528,49494.570000000014,85864.99,2021-09-01,TOTAL,50.20673553270805
PEPSICO,SEPTIEMBRE 2022,1.8918613235438382,1568,57487.48000000002,108758.33999999995,2022-09-01,TOTAL,50.24253851574826
SEÑORIAL,ABRIL 2019,1.2101557616527312,552,25516.55,30879,2019-04-01,TOTAL,17.03546780093014
SEÑORIAL,ABRIL 2020,1.1760169051084315,685,20434.060000000005,24030.799999999996,2020-04-01,TOTAL,14.90306847251362
SEÑORIAL,ABRIL 2021,1.1289617357244275,631,21164.65,23894.08,2021-04-01,TOTAL,13.020873380849679
SEÑORIAL,ABRIL 2022,1.1597236466467924,613,19647.310000000005,22785.449999999997,2022-04-01,TOTAL,11.821759099046691
SEÑORIAL,AGOSTO 2019,1.1725704233686853,512,24080.430000000008,28236,2019-08-01,TOTAL,15.731150865503006
SEÑORIAL,AGOSTO 2020,1.1131581439258071,728,20909.940000000002,23276.069999999996,2020-08-01,TOTAL,14.35961586724144
SEÑORIAL,AGOSTO 2021,1.108392059705868,630,21150.349999999995,23442.88,2021-08-01,TOTAL,12.914742157502927
SEÑORIAL,AGOSTO 2022,1.1123595607455283,608,22066.480000000003,24545.859999999993,2022-08-01,TOTAL,11.746628759094586
SEÑORIAL,DICIEMBRE 2019,1.1856283422721177,646,25583.270000000008,30332.25000000001,2019-12-01,TOTAL,15.952212546596806
SEÑORIAL,DICIEMBRE 2020,1.192588063440441,677,21228.729999999996,25317.12999999999,2020-12-01,TOTAL,13.827575168518095
SEÑORIAL,DICIEMBRE 2021,1.204650425788856,627,20826.049999999996,25088.109999999997,2021-12-01,TOTAL,12.137135092329729
SEÑORIAL,DICIEMBRE 2022,1.2129367495730494,611,25283.939999999995,30667.82,2022-12-01,TOTAL,12.41508502407613
SEÑORIAL,ENERO 2019,1.1828167117334312,561,28246.98,33411,2019-01-01,TOTAL,17.369898622303094
SEÑORIAL,ENERO 2020,1.1937481071205687,702,24532.730000000014,29285.900000000005,2020-01-01,TOTAL,15.375183101331924
SEÑORIAL,ENERO 2021,1.1380050454844683,675,22634.1,25757.72,2021-01-01,TOTAL,13.25299537261785
SEÑORIAL,ENERO 2022,1.1763560842885263,608,19346.879999999994,22758.819999999996,2022-01-01,TOTAL,11.61684495143565
SEÑORIAL,ENERO 2023,1.1844043693516164,636,23393.859999999993,27707.789999999997,2023-01-01,TOTAL,11.915206331844022
SEÑORIAL,FEBRERO 2019,1.1716953663528642,545,25181.460000000006,29505,2019-02-01,TOTAL,17.530152694432893
SEÑORIAL,FEBRERO 2020,1.137051211096102,710,23326.39,26523.300000000003,2020-02-01,TOTAL,15.159199803572193
SEÑORIAL,FEBRERO 2021,1.117927537605784,605,19514.95,21816.299999999996,2021-02-01,TOTAL,12.94908815717232
SEÑORIAL,FEBRERO 2022,1.1184283432215338,611,18517.019999999997,20709.960000000003,2022-02-01,TOTAL,11.544517887515267
SEÑORIAL,FEBRERO 2023,1.1442024659241743,651,22126.390000000003,25317.069999999996,2023-02-01,TOTAL,11.936468760338654
SEÑORIAL,JULIO 2019,1.172276999798972,523,25021.39,29332,2019-07-01,TOTAL,16.131019160122307
SEÑORIAL,JULIO 2020,1.125728449056738,701,20998.739999999994,23350.600000000002,2020-07-01,TOTAL,14.815931532993279
SEÑORIAL,JULIO 2021,1.107890819136314,649,21441.11999999999,23754.419999999995,2021-07-01,TOTAL,12.683061274003094
SEÑORIAL,JULIO 2022,1.1166801061681437,617,21268.14999999999,23749.719999999994,2022-07-01,TOTAL,11.805254448980637
SEÑORIAL,JUNIO 2019,1.1841754917286997,521,24487.07999999999,28997,2019-06-01,TOTAL,15.988553217064307
SEÑORIAL,JUNIO 2020,1.116658649444345,705,21079.62,23538.74,2020-06-01,TOTAL,15.070306679870855
SEÑORIAL,JUNIO 2021,1.1017795309337979,640,20625.660000000003,22724.93,2021-06-01,TOTAL,12.593875229087313
SEÑORIAL,JUNIO 2022,1.1173155791115865,596,21101.460000000014,23576.989999999998,2022-06-01,TOTAL,12.000947167661757
SEÑORIAL,MARZO 2019,1.1691720087078337,552,26904.510000000006,31456,2019-03-01,TOTAL,16.909736968009334
SEÑORIAL,MARZO 2020,1.1514431191387215,701,23343.87999999999,26879.15000000001,2020-03-01,TOTAL,15.309455864342087
SEÑORIAL,MARZO 2021,1.1225365437352044,610,21700.710000000003,24359.83999999999,2021-03-01,TOTAL,13.517793606352377
SEÑORIAL,MARZO 2022,1.1460155046440668,607,18973.669999999987,21744.119999999977,2022-03-01,TOTAL,11.602256728927596
SEÑORIAL,MARZO 2023,1.2011230796124623,659,23282.410000000003,27965.039999999994,2023-03-01,TOTAL,12.45402283289179
SEÑORIAL,MAYO 2019,1.1727033062198453,541,25588.739999999998,30008,2019-05-01,TOTAL,16.698292220113853
SEÑORIAL,MAYO 2020,1.1079148243494081,693,20051.739999999998,22215.62,2020-05-01,TOTAL,14.893504193227347
SEÑORIAL,MAYO 2021,1.1111094176789549,633,20996.15,23329.01999999999,2021-05-01,TOTAL,13.033468649475916
SEÑORIAL,MAYO 2022,1.1161260247627096,598,20486.44999999999,22865.46,2022-05-01,TOTAL,11.932666982220606
SEÑORIAL,NOVIEMBRE 2019,1.130741857872283,629,25266.43000000001,28569.809999999998,2019-11-01,TOTAL,16.40895099583812
SEÑORIAL,NOVIEMBRE 2020,1.1281613459887443,707,20942.82,23626.879999999997,2020-11-01,TOTAL,13.789076080520857
SEÑORIAL,NOVIEMBRE 2021,1.1335525978162098,625,19875.540000000008,22529.969999999998,2021-11-01,TOTAL,12.429711762158666
SEÑORIAL,NOVIEMBRE 2022,1.1369192725704615,615,22261.949999999997,25310.039999999986,2022-11-01,TOTAL,12.094735028237398
SEÑORIAL,OCTUBRE 2019,1.1561527617858796,636,23232.25,26860.03,2019-10-01,TOTAL,15.491703584866181
SEÑORIAL,OCTUBRE 2020,1.1210226364106217,744,21573.649999999987,24184.549999999996,2020-10-01,TOTAL,14.462997480156293
SEÑORIAL,OCTUBRE 2021,1.131238501226117,617,19887.99,22498.060000000005,2021-10-01,TOTAL,12.894475295465131
SEÑORIAL,OCTUBRE 2022,1.139722066366824,650,23330.030000000006,26589.749999999996,2022-10-01,TOTAL,12.287578624606365
SEÑORIAL,SEPTIEMBRE 2019,1.1673032638702954,521,23193.63,27074,2019-09-01,TOTAL,15.261297723262853
SEÑORIAL,SEPTIEMBRE 2020,1.108963250044638,731,20946.42,23228.810000000005,2020-09-01,TOTAL,14.292807875808275
SEÑORIAL,SEPTIEMBRE 2021,1.1028599611466359,630,19910.76000000001,21958.780000000002,2021-09-01,TOTAL,12.839676101760674
SEÑORIAL,SEPTIEMBRE 2022,1.1246174058310456,637,23824.20000000001,26793.110000000008,2022-09-01,TOTAL,12.377477084807298
BIMBO,ABRIL 2019,6.68103448275862,31,4.640000000000001,31,2019-04-01,OT,0.08809070500980365
BIMBO,ABRIL 2020,12.712251411735824,204,40.72999999999999,517.77,2020-04-01,OT,1.7149835579921937
BIMBO,ABRIL 2021,8.799336798709447,299,111.57999999999998,981.83,2021-04-01,OT,2.939162864102447
BIMBO,ABRIL 2022,8.13591546366019,358,240.37,1955.63,2022-04-01,OT,4.881367321000139
BIMBO,AGOSTO 2019,6.787330316742081,41,8.84,60,2019-08-01,OT,0.19256691700365877
