Month,Channel,Manufacturer,Model Selected,Training Period,Training Error (Units WAPE in %),Testing Period,Testing Error (Units WAPE in %)
Jan-23,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 22,5.05,Dec 22 - Jan 23,4.01
Jan-23,OT,OTHERS,ConstrainedRegression,Jan 19 - Nov 22,11.03,Dec 22 - Jan 23,2.84
Jan-23,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Nov 22,1.3,Dec 22 - Jan 23,0.33
Jan-23,OT,PEPSICO,ConstrainedRegression,Jan 19 - Nov 22,2.77,Dec 22 - Jan 23,14.77
Jan-23,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Nov 22,2.86,Dec 22 - Jan 23,0.26
Jan-23,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Nov 22,5.78,Dec 22 - Jan 23,1.26
Jan-23,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Nov 22,3.84,Dec 22 - Jan 23,1.31
Feb-23,OT,BIMBO,ConstrainedRegression,Jan 19 - Jan 23,32.71,Feb 23 - Feb 23,8.38
Feb-23,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Jan 23,4.48,Feb 23 - Feb 23,9.42
Feb-23,OT,DIANA,ConstrainedRegression,Jan 19 - Jan 23,7.22,Feb 23 - Feb 23,0.46
Feb-23,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Jan 23,2.95,Feb 23 - Feb 23,0.18
Feb-23,OT,DINANT,ConstrainedRegression,Jan 19 - Jan 23,6.03,Feb 23 - Feb 23,5.74
Feb-23,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Jan 23,2.11,Feb 23 - Feb 23,2.65
Feb-23,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Jan 23,4.41,Feb 23 - Feb 23,6.87
Feb-23,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Jan 23,11.74,Feb 23 - Feb 23,0.5
Feb-23,OT,OTHERS,ConstrainedRegression,Jan 19 - Jan 23,4.33,Feb 23 - Feb 23,1.12
Feb-23,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Jan 23,1.37,Feb 23 - Feb 23,2.39
Feb-23,OT,PEPSICO,ConstrainedRegression,Jan 19 - Jan 23,11.36,Feb 23 - Feb 23,1.0
Feb-23,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Jan 23,0.53,Feb 23 - Feb 23,0.05
Feb-23,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Jan 23,4.65,Feb 23 - Feb 23,1.32
Feb-23,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Jan 23,3.76,Feb 23 - Feb 23,0.04
Mar-23,OT,BIMBO,ConstrainedRegression,Jan 19 - Dec 22,44.83,Jan 23 - Mar 23,7.63
Mar-23,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Dec 22,3.67,Jan 23 - Mar 23,11.91
Mar-23,OT,DIANA,ConstrainedRegression,Jan 19 - Dec 22,4.13,Jan 23 - Mar 23,4.87
Mar-23,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Dec 22,3.05,Jan 23 - Mar 23,0.6
Mar-23,OT,DINANT,ConstrainedRegression,Jan 19 - Dec 22,6.2,Jan 23 - Mar 23,3.25
Mar-23,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Dec 22,2.04,Jan 23 - Mar 23,0.95
Mar-23,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Dec 22,4.4,Jan 23 - Mar 23,5.78
Mar-23,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Dec 22,4.94,Jan 23 - Mar 23,2.18
Mar-23,OT,OTHERS,ConstrainedRegression,Jan 19 - Dec 22,4.17,Jan 23 - Mar 23,1.11
Mar-23,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Dec 22,1.17,Jan 23 - Mar 23,2.06
Mar-23,OT,PEPSICO,ConstrainedRegression,Jan 19 - Dec 22,7.11,Jan 23 - Mar 23,1.98
Mar-23,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Dec 22,0.53,Jan 23 - Mar 23,0.58
Mar-23,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Dec 22,4.42,Jan 23 - Mar 23,4.7
Mar-23,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Dec 22,1.54,Jan 23 - Mar 23,0.32
Jun-23,OT,BIMBO,ConstrainedRegression,Jan 19 - Mar 23,39.58,Apr 23 - Jun 23,1.51
Jun-23,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Mar 23,3.04,Apr 23 - Jun 23,3.99
Jun-23,OT,DIANA,ConstrainedRegression,Jan 19 - Mar 23,3.72,Apr 23 - Jun 23,10.51
Jun-23,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Mar 23,2.89,Apr 23 - Jun 23,2.54
Jun-23,OT,DINANT,ConstrainedRegression,Jan 19 - Mar 23,6.99,Apr 23 - Jun 23,2.05
Jun-23,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Mar 23,1.79,Apr 23 - Jun 23,0.54
Jun-23,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Mar 23,3.67,Apr 23 - Jun 23,2.63
Jun-23,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Mar 23,3.12,Apr 23 - Jun 23,2.17
Jun-23,OT,OTHERS,ConstrainedRegression,Jan 19 - Mar 23,2.72,Apr 23 - Jun 23,0.84
Jun-23,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Mar 23,3.28,Apr 23 - Jun 23,2.59
Jun-23,OT,PEPSICO,ConstrainedRegression,Jan 19 - Mar 23,3.49,Apr 23 - Jun 23,1.59
Jun-23,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Mar 23,0.69,Apr 23 - Jun 23,0.81
Jun-23,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Mar 23,6.94,Apr 23 - Jun 23,3.69
Jun-23,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Mar 23,3.64,Apr 23 - Jun 23,1.18
